	cols_set	datapoints	normalize	oversample	drop_nan	train_set	test_set	model	tune_for	mean	std	accuracy	bal_accuracy	precision	recall	f1	AUROC	params
0	8_features	162	False	minmax	True	121	41	gaussian_nb	precision	0.25255804801259346	0.0707484887382836	0.6341463414634146	0.5525210084033614	0.21428571428571427	0.42857142857142855	0.2857142857142857	0.5525210084033614	{'clf__var_smoothing': 2e-08}
1	8_features	162	False	minmax	True	121	41	gaussian_nb	recall	0.6	0.24393468845452249	0.5853658536585366	0.523109243697479	0.1875	0.42857142857142855	0.26086956521739124	0.523109243697479	{'clf__var_smoothing': 1e-08}
2	8_features	162	False	minmax	True	121	41	gaussian_nb	f1	0.3580056307329035	0.14798631355955583	0.6341463414634146	0.5525210084033614	0.21428571428571427	0.42857142857142855	0.2857142857142857	0.5525210084033614	{'clf__var_smoothing': 5e-08}
3	8_features	162	False	minmax	True	121	41	gaussian_nb	balanced_accuracy	0.6316910362364909	0.11387057605759575	0.5609756097560976	0.5084033613445378	0.17647058823529413	0.42857142857142855	0.25	0.5084033613445378	{'clf__var_smoothing': 1e-09}
4	8_features	162	False	minmax	True	121	41	gaussian_nb	roc_auc	0.7228353464717101	0.10262349783440973	0.6341463414634146	0.6092436974789917	0.25	0.5714285714285714	0.34782608695652173	0.6092436974789915	{'clf__var_smoothing': 1e-08}
5	8_features	162	False	minmax	True	121	41	knn	precision	0.29126310409732864	0.1385826118923511	0.5853658536585366	0.4096638655462185	0.08333333333333333	0.14285714285714285	0.10526315789473685	0.4096638655462185	{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}
6	8_features	162	False	minmax	True	121	41	knn	recall	0.6016528925619834	0.14199491963579855	0.6097560975609756	0.4243697478991597	0.09090909090909091	0.14285714285714285	0.1111111111111111	0.4243697478991596	{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'distance'}
7	8_features	162	False	minmax	True	121	41	knn	f1	0.35484892679836766	0.0524660111725286	0.5853658536585366	0.4096638655462185	0.08333333333333333	0.14285714285714285	0.10526315789473685	0.4096638655462185	{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 4, 'clf__weights': 'uniform'}
8	8_features	162	False	minmax	True	121	41	knn	balanced_accuracy	0.6167196439923712	0.08008918256310889	0.6097560975609756	0.4243697478991597	0.09090909090909091	0.14285714285714285	0.1111111111111111	0.4243697478991596	{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}
9	8_features	162	False	minmax	True	121	41	knn	roc_auc	0.6593579148124604	0.04490043615900839	0.6341463414634146	0.5525210084033614	0.21428571428571427	0.42857142857142855	0.2857142857142857	0.5525210084033614	{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}
10	8_features	162	False	minmax	True	121	41	ada	precision	0.32552800734618914	0.10821661087889238	0.6097560975609756	0.5945378151260504	0.23529411764705882	0.5714285714285714	0.3333333333333333	0.5945378151260504	{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100}
11	8_features	162	False	minmax	True	121	41	ada	recall	0.9487603305785124	0.08730652989252399	0.7560975609756098	0.5126050420168067	0.2	0.14285714285714285	0.16666666666666666	0.5126050420168067	{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10}
12	8_features	162	False	minmax	True	121	41	ada	f1	0.3853616738992233	0.050239137434059895	0.6097560975609756	0.5945378151260504	0.23529411764705882	0.5714285714285714	0.3333333333333333	0.5945378151260504	{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100}
13	8_features	162	False	minmax	True	121	41	ada	balanced_accuracy	0.6623966942148761	0.07263658884239102	0.6097560975609756	0.5945378151260504	0.23529411764705882	0.5714285714285714	0.3333333333333333	0.5945378151260504	{'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 10}
14	8_features	162	False	minmax	True	121	41	ada	roc_auc	0.7377240940877305	0.08307284941474696	0.6097560975609756	0.5945378151260504	0.23529411764705882	0.5714285714285714	0.3333333333333333	0.5945378151260504	{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200}
15	8_features	162	False	minmax	True	121	41	svm	precision	0.4175521448248721	0.3736724217474176	0.8048780487804879	0.6554621848739496	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.6554621848739496	{'clf__C': 1000, 'clf__gamma': 1, 'clf__kernel': 'rbf'}
16	8_features	162	False	minmax	True	121	41	svm	recall	0.8495867768595041	0.08636264778587192	0.5609756097560976	0.5651260504201681	0.21052631578947367	0.5714285714285714	0.3076923076923077	0.5651260504201681	{'clf__C': 0.001, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}
17	8_features	162	False	minmax	True	121	41	svm	f1	0.37390433258201855	0.0280271639853703	0.5853658536585366	0.523109243697479	0.1875	0.42857142857142855	0.26086956521739124	0.523109243697479	{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}
18	8_features	162	False	minmax	True	121	41	svm	balanced_accuracy	0.6308010171646534	0.039244091912089725	0.6341463414634146	0.5525210084033614	0.21428571428571427	0.42857142857142855	0.2857142857142857	0.5525210084033614	{'clf__C': 10, 'clf__gamma': 1, 'clf__kernel': 'rbf'}
19	8_features	162	False	minmax	True	121	41	svm	roc_auc	0.7030896376350921	0.06894151506954184	0.5609756097560976	0.5651260504201681	0.21052631578947367	0.5714285714285714	0.3076923076923077	0.5651260504201681	{'clf__C': 0.1, 'clf__gamma': 1e-05, 'clf__kernel': 'sigmoid'}
20	8_features	162	False	minmax	True	121	41	decision_tree	precision	0.7107438016528925	0.2975015298409804	0.6097560975609756	0.5945378151260504	0.23529411764705882	0.5714285714285714	0.3333333333333333	0.5945378151260504	{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
